student_code,name,age,gender,class_level,semester,study_hours,sleep_hours,screen_time,study_days,attendance,previous_marks,exam_score,passed
STU-00240,Isha Gupta,18,Female,Undergraduate,Semester 2,8.8,7.7,1.8,7,73.6,75.2,79.2,1
STU-00241,Sara Mishra,17,Female,11th,Semester 3,4.8,4.9,1.0,7,88.7,75.4,62.4,1
STU-00242,Anushka Sharma,14,Female,10th,Semester 1,2.9,6.8,2.5,4,82.8,58.5,61.3,1
STU-00243,Vivaan Singh,18,Male,12th,Semester 3,4.8,8.0,2.8,7,80.8,74.8,84.3,1
STU-00244,Aanya Bhat,17,Female,11th,Semester 3,7.3,6.5,0.8,7,40.0,53.7,58.9,1
STU-00245,Aaryan Kulkarni,16,Male,9th,Semester 4,2.9,6.7,2.1,4,73.4,58.3,58.3,1
STU-00246,Anand Bose,15,Male,10th,Semester 2,5.4,8.0,4.9,7,60.3,54.1,49.1,0
STU-00247,Saanvi Gupta,18,Female,12th,Semester 2,0.8,8.5,2.4,2,54.5,51.1,31.9,0
STU-00248,Anushka Gupta,18,Female,Undergraduate,Semester 1,5.1,6.6,1.7,7,99.3,81.1,76.0,1
STU-00249,Krishna Singh,18,Male,12th,Semester 3,2.7,6.5,1.8,5,78.1,62.5,55.2,1
STU-00250,Atharv Bhat,17,Male,11th,Semester 2,3.7,5.9,9.9,6,70.3,50.3,38.2,0
STU-00251,Tanvi Chouhan,18,Female,11th,Semester 1,8.4,4.4,2.8,7,84.5,81.6,77.7,1
STU-00252,Aditya Kapoor,18,Male,Undergraduate,Semester 4,4.0,7.8,1.2,6,78.7,68.8,58.1,1
STU-00253,Dev Mehta,15,Male,9th,Semester 2,2.5,7.4,1.1,5,74.2,62.2,50.8,1
STU-00254,Isha Joshi,16,Female,11th,Semester 1,1.2,5.8,4.5,3,66.1,38.2,35.4,0
STU-00255,Rohan Rao,14,Male,10th,Semester 1,1.6,8.5,11.0,4,65.0,41.6,30.6,0
STU-00256,Ananya Deshmukh,16,Female,11th,Semester 2,3.2,7.9,0.9,6,63.3,67.9,59.0,1
STU-00257,Avani Nair,19,Female,Undergraduate,Semester 3,7.1,6.7,1.6,7,97.1,86.0,79.3,1
STU-00258,Rohan Deshmukh,14,Male,10th,Semester 2,5.6,6.2,5.5,7,53.9,54.7,49.3,0
STU-00259,Sara Banerjee,18,Female,12th,Semester 1,1.6,7.2,3.5,4,84.6,64.6,59.2,1
STU-00260,Siddharth Rao,17,Male,11th,Semester 1,2.1,7.5,6.2,4,85.1,61.3,50.3,1
STU-00261,Aaryan Kapoor,20,Male,Undergraduate,Semester 1,3.7,7.3,10.4,6,88.0,60.1,52.0,1
STU-00262,Sneha Verma,21,Female,Undergraduate,Semester 2,7.2,6.6,3.0,7,95.5,77.1,75.7,1
STU-00263,Avani Choudhury,15,Female,10th,Semester 4,2.4,7.7,1.8,5,82.0,62.4,57.9,1
STU-00264,Meera Kapoor,18,Female,12th,Semester 3,2.2,7.1,5.3,4,75.5,61.0,56.3,1
STU-00265,Aanya Sharma,18,Female,Undergraduate,Semester 1,2.1,7.2,4.0,4,82.1,58.1,63.1,1
STU-00266,Diya Kumar,21,Female,Undergraduate,Semester 2,2.5,8.2,5.2,4,77.8,45.1,44.4,0
STU-00267,Kavya Patel,14,Female,9th,Semester 1,1.4,5.1,4.3,4,76.3,66.9,49.3,0
STU-00268,Anika Das,16,Female,11th,Semester 1,3.3,7.6,1.9,6,57.2,51.6,45.1,0
STU-00269,Angel Verma,19,Female,Undergraduate,Semester 3,4.9,8.1,2.4,7,81.7,63.9,61.0,1
STU-00270,Khushi Bhat,16,Female,9th,Semester 3,2.9,6.8,3.7,4,86.0,63.2,50.4,1
STU-00271,Anand Kumar,16,Male,12th,Semester 2,2.0,7.4,6.7,4,60.7,44.7,40.6,0
STU-00272,Saanvi Bose,18,Female,11th,Semester 2,5.8,7.1,1.7,7,71.7,65.9,71.7,1
STU-00273,Anand Joshi,18,Male,11th,Semester 1,4.0,6.6,1.8,7,93.0,67.6,67.8,1
STU-00274,Advik Kumar,17,Male,11th,Semester 2,0.7,9.3,6.9,3,65.2,43.4,34.5,0
STU-00275,Pari Gupta,16,Female,12th,Semester 1,6.7,7.5,8.1,7,93.7,76.7,73.7,1
STU-00276,Tara Joshi,22,Female,Undergraduate,Semester 4,4.8,8.5,6.3,7,82.1,65.4,55.3,1
STU-00277,Angel Bose,17,Female,12th,Semester 4,3.6,6.3,7.2,6,90.5,50.8,57.3,1
STU-00278,Vivaan Kapoor,17,Male,12th,Semester 4,2.4,6.3,2.2,5,84.1,56.2,56.4,1
STU-00279,Meera Kumar,19,Female,Undergraduate,Semester 1,2.8,5.9,7.0,5,52.8,40.7,33.2,0
STU-00280,Sneha Gupta,15,Female,10th,Semester 3,6.4,7.5,2.5,7,91.2,75.1,73.4,1
STU-00281,Arnav Choudhury,15,Male,9th,Semester 2,3.9,7.4,3.1,7,82.1,63.0,57.2,1
STU-00282,Shaurya Joshi,15,Male,10th,Semester 3,3.4,6.5,5.7,5,60.7,63.3,56.2,1
STU-00283,Arnav Reddy,14,Male,9th,Semester 2,3.3,4.8,6.0,5,87.5,65.4,57.9,1
STU-00284,Sara Gupta,15,Female,9th,Semester 3,1.6,7.9,2.3,4,85.9,57.3,42.5,0
STU-00285,Aditya Choudhury,14,Male,10th,Semester 3,4.9,6.4,1.2,7,61.9,55.8,65.2,1
STU-00286,Kabir Mehta,16,Male,9th,Semester 4,2.5,7.7,0.8,4,91.9,61.2,62.0,1
STU-00287,Advaith Rao,18,Male,11th,Semester 2,3.1,6.2,7.5,5,77.1,65.4,50.7,1
STU-00288,Sai Das,16,Male,12th,Semester 4,6.3,7.4,6.8,7,90.6,78.2,73.3,1
STU-00289,Advik Kulkarni,17,Male,11th,Semester 3,0.9,7.4,8.9,2,92.7,36.8,37.5,0
STU-00290,Saanvi Rao,14,Female,9th,Semester 2,3.2,7.0,1.7,6,59.6,53.1,47.9,0
STU-00291,Aadhya Singh,18,Female,12th,Semester 4,5.8,8.1,4.3,7,87.9,86.5,82.3,1
STU-00292,Vihaan Kulkarni,18,Male,12th,Semester 4,4.9,7.2,2.9,7,88.3,65.8,69.9,1
STU-00293,Vihaan Banerjee,16,Male,11th,Semester 1,1.7,5.5,2.2,3,60.9,57.6,41.2,0
STU-00294,Kavya Bhat,16,Female,12th,Semester 3,4.5,6.8,6.5,6,70.1,57.0,42.9,0
STU-00295,Anika Das,15,Female,10th,Semester 1,2.9,8.1,1.2,5,61.5,70.5,48.0,0
STU-00296,Pranav Sharma,15,Male,9th,Semester 2,1.5,8.2,3.6,3,72.5,51.7,54.5,1
STU-00297,Aadhya Patel,17,Female,11th,Semester 1,2.0,9.0,7.8,3,77.1,53.4,41.4,0
STU-00298,Diya Kulkarni,14,Female,9th,Semester 2,4.6,6.0,4.0,7,62.1,62.5,51.0,1
STU-00299,Krishna Malhotra,20,Male,Undergraduate,Semester 2,5.0,8.4,2.5,7,90.9,85.9,77.2,1
STU-00300,Anand Verma,17,Male,12th,Semester 2,5.2,7.4,6.2,7,84.6,66.9,65.2,1
STU-00301,Tanvi Verma,16,Female,10th,Semester 4,3.4,6.5,1.9,5,96.4,73.1,72.4,1
STU-00302,Arnav Rao,16,Male,10th,Semester 3,2.0,5.1,0.8,3,88.1,58.7,50.6,1
STU-00303,Pranav Banerjee,16,Male,9th,Semester 4,3.2,6.1,2.9,6,64.8,54.6,50.7,1
STU-00304,Muhammad Sharma,15,Male,9th,Semester 4,1.7,6.6,4.4,3,79.6,69.2,52.1,1
STU-00305,Angel Singh,17,Female,12th,Semester 2,3.5,8.5,3.9,6,70.1,55.1,49.5,0
STU-00306,Arjun Rao,18,Male,12th,Semester 1,2.2,7.3,3.6,4,69.6,62.7,54.2,1
STU-00307,Sneha Deshmukh,17,Female,12th,Semester 2,4.8,7.5,2.4,7,68.8,61.6,69.6,1
STU-00308,Ayaan Kulkarni,16,Male,9th,Semester 2,0.5,6.9,2.4,2,94.0,58.5,53.3,1
STU-00309,Saanvi Kumar,16,Female,12th,Semester 4,3.2,8.0,5.0,6,80.3,62.6,61.5,1
STU-00310,Aarav Chouhan,14,Male,10th,Semester 1,3.7,5.4,8.4,5,91.2,63.1,68.7,1
STU-00311,Dev Chouhan,17,Male,11th,Semester 2,1.6,5.4,7.7,4,82.6,57.1,39.2,0
STU-00312,Anand Banerjee,20,Male,Undergraduate,Semester 3,6.3,7.3,3.2,7,40.0,46.2,32.5,0
STU-00313,Aarav Joshi,22,Male,Undergraduate,Semester 2,3.9,7.5,2.2,7,82.5,65.1,56.3,1
STU-00314,Ayaan Mehta,16,Male,10th,Semester 3,3.3,7.0,3.0,6,60.2,46.5,44.5,0
STU-00315,Kavya Banerjee,17,Female,11th,Semester 4,2.1,6.7,6.5,4,84.4,49.2,53.4,1
STU-00316,Aaryan Malhotra,16,Male,11th,Semester 3,1.4,8.0,5.3,3,79.3,67.9,44.4,0
STU-00317,Vivaan Rao,16,Male,10th,Semester 4,2.3,5.2,4.4,4,86.1,76.0,60.7,1
STU-00318,Navya Reddy,16,Female,10th,Semester 3,1.6,8.0,4.4,4,67.3,49.0,47.4,0
STU-00319,Pooja Iyer,18,Female,12th,Semester 2,6.1,5.4,1.3,7,62.5,66.3,49.0,0
STU-00320,Anika Rao,17,Female,12th,Semester 2,6.3,5.9,2.1,7,69.1,79.9,70.0,1
STU-00321,Atharv Choudhury,16,Male,12th,Semester 1,2.6,7.2,6.0,5,80.7,69.5,60.4,1
STU-00322,Vihaan Verma,17,Male,11th,Semester 4,4.8,7.4,2.1,7,47.1,60.0,53.5,1
STU-00323,Ayaan Mehta,18,Male,11th,Semester 3,0.8,9.3,3.2,3,63.7,45.1,35.0,0
STU-00324,Meera Banerjee,20,Female,Undergraduate,Semester 4,3.9,5.4,5.6,6,74.9,68.1,52.1,1
STU-00325,Advaith Sharma,18,Male,11th,Semester 4,1.1,7.4,3.6,2,76.6,57.1,57.0,1
STU-00326,Ananya Bose,16,Female,11th,Semester 3,2.7,6.2,4.0,5,59.5,54.4,51.5,1
STU-00327,Sai Rao,22,Male,Undergraduate,Semester 3,3.9,6.0,2.1,6,80.2,64.6,45.6,0
STU-00328,Riya Kapoor,16,Female,12th,Semester 1,6.1,8.4,2.9,7,80.5,66.3,67.7,1
STU-00329,Advik Iyer,17,Male,12th,Semester 2,6.7,5.9,1.3,7,68.9,74.3,67.9,1
STU-00330,Khushi Rao,15,Female,10th,Semester 3,1.6,5.9,2.6,3,71.1,63.7,48.3,0
STU-00331,Aadhya Banerjee,16,Female,11th,Semester 2,3.3,7.1,5.1,5,78.7,69.5,54.7,1
STU-00332,Ishaan Das,19,Male,Undergraduate,Semester 4,4.2,7.0,4.2,7,93.2,64.5,74.7,1
STU-00333,Dev Singh,15,Male,9th,Semester 1,5.3,6.7,4.5,7,58.1,65.7,57.2,1
STU-00334,Aaryan Patel,14,Male,10th,Semester 4,2.6,6.4,7.2,4,86.0,57.8,50.4,1
STU-00335,Angel Bhat,17,Female,11th,Semester 1,4.2,7.5,2.7,6,84.4,64.1,64.5,1
STU-00336,Aanya Das,16,Female,10th,Semester 4,6.7,6.0,1.9,7,76.4,87.5,76.8,1
STU-00337,Khushi Mehta,18,Female,11th,Semester 2,5.6,7.8,2.8,7,68.7,55.7,56.0,1
STU-00338,Anand Singh,16,Male,12th,Semester 1,4.0,7.3,4.5,7,93.1,73.1,70.7,1
STU-00339,Dhruv Mehta,16,Male,9th,Semester 3,1.4,6.8,3.6,3,74.5,47.3,43.9,0
STU-00340,Dev Reddy,18,Male,12th,Semester 3,2.4,6.2,1.7,5,74.4,70.1,59.3,1
STU-00341,Ishaan Bose,17,Male,12th,Semester 3,4.0,8.0,0.8,7,87.1,67.5,64.2,1
STU-00342,Angel Gupta,17,Female,12th,Semester 1,5.7,10.0,5.8,7,52.1,67.4,57.3,1
STU-00343,Sneha Mishra,14,Female,10th,Semester 1,3.7,8.0,4.2,5,97.2,65.3,70.8,1
STU-00344,Atharv Joshi,16,Male,9th,Semester 3,0.8,6.5,2.2,3,83.5,60.0,53.9,1
STU-00345,Advik Kumar,16,Male,12th,Semester 2,4.2,7.4,11.0,7,65.5,44.0,33.5,0
STU-00346,Sara Singh,15,Female,10th,Semester 1,3.5,8.5,4.8,5,75.0,67.6,62.4,1
STU-00347,Anika Banerjee,14,Female,10th,Semester 4,1.0,6.1,3.1,3,65.7,52.9,45.4,0
STU-00348,Aaryan Iyer,16,Male,9th,Semester 1,5.3,8.2,3.4,7,81.7,62.8,72.7,1
STU-00349,Aanya Patel,14,Female,10th,Semester 2,2.8,8.0,0.5,4,77.4,62.7,59.0,1
STU-00350,Siddharth Das,19,Male,Undergraduate,Semester 2,8.1,7.3,2.9,7,80.6,91.0,82.7,1
STU-00351,Rohan Mishra,17,Male,11th,Semester 1,2.1,8.7,6.1,5,49.1,31.5,24.9,0
STU-00352,Arjun Das,16,Male,10th,Semester 1,4.5,5.1,6.2,6,83.9,73.1,51.9,1
STU-00353,Aditya Banerjee,16,Male,11th,Semester 3,6.4,8.0,6.8,7,94.6,66.6,67.2,1
STU-00354,Pooja Choudhury,14,Female,10th,Semester 2,3.4,9.5,0.9,6,85.4,65.6,59.3,1
STU-00355,Kabir Sharma,17,Male,11th,Semester 4,4.8,8.3,1.8,7,88.2,86.7,69.5,1
STU-00356,Tanvi Verma,16,Female,11th,Semester 4,4.6,7.6,2.7,7,72.6,76.4,69.2,1
STU-00357,Muhammad Choudhury,20,Male,Undergraduate,Semester 3,2.5,5.8,1.6,5,80.6,73.5,64.3,1
STU-00358,Aanya Banerjee,15,Female,9th,Semester 3,2.0,4.4,2.6,3,89.9,69.1,52.6,1
STU-00359,Vihaan Verma,15,Male,9th,Semester 3,3.3,6.4,1.1,5,95.5,70.2,63.6,1
STU-00360,Tara Singh,17,Female,11th,Semester 1,4.7,6.1,5.1,7,65.0,59.5,50.0,1
STU-00361,Anushka Gupta,19,Female,Undergraduate,Semester 3,1.4,4.6,4.4,3,93.4,72.4,66.7,1
STU-00362,Shaurya Das,16,Male,11th,Semester 4,2.9,6.3,2.7,4,87.7,77.6,79.2,1
STU-00363,Pooja Das,15,Female,9th,Semester 4,6.6,6.9,3.5,7,48.6,65.1,57.4,1
STU-00364,Sneha Iyer,14,Female,10th,Semester 3,7.1,6.4,3.4,7,92.8,83.1,85.5,1
STU-00365,Navya Reddy,15,Female,10th,Semester 4,2.0,6.6,8.0,4,93.8,58.2,51.4,1
STU-00366,Pooja Nair,14,Female,10th,Semester 4,7.0,6.6,2.8,7,47.2,68.8,52.4,1
STU-00367,Advaith Verma,19,Male,Undergraduate,Semester 3,5.5,7.7,9.0,7,51.6,54.5,51.6,1
STU-00368,Arnav Kulkarni,18,Male,11th,Semester 2,4.8,8.2,0.5,7,73.2,60.3,64.3,1
STU-00369,Aadhya Kulkarni,14,Female,9th,Semester 1,2.6,7.2,3.9,5,82.8,60.1,54.1,1
STU-00370,Diya Kapoor,16,Female,9th,Semester 2,2.6,6.4,0.7,5,87.2,65.3,54.8,1
STU-00371,Sara Malhotra,15,Female,9th,Semester 2,4.5,9.0,2.4,6,80.9,65.2,51.9,1
STU-00372,Pooja Choudhury,15,Female,10th,Semester 2,1.6,8.1,4.0,3,77.8,52.5,55.6,1
STU-00373,Kavya Nair,18,Female,11th,Semester 2,12.0,7.2,0.7,7,68.9,93.8,90.5,1
STU-00374,Sai Rao,14,Male,9th,Semester 1,6.0,8.2,4.4,7,97.0,73.0,73.7,1
STU-00375,Aaryan Das,14,Male,9th,Semester 4,1.8,6.1,2.7,3,93.7,62.3,58.3,1
STU-00376,Aadhya Mishra,20,Female,Undergraduate,Semester 3,6.2,6.9,5.9,7,79.9,65.6,63.0,1
STU-00377,Pari Reddy,18,Female,11th,Semester 1,8.1,6.0,1.8,7,65.3,79.5,85.5,1
STU-00378,Tara Sharma,14,Female,10th,Semester 3,1.2,8.2,2.4,3,81.1,71.3,60.1,1
STU-00379,Reyansh Rao,18,Male,11th,Semester 1,3.8,7.5,3.8,6,96.9,78.1,86.7,1
STU-00380,Navya Singh,16,Female,12th,Semester 3,3.6,6.8,1.7,6,73.1,67.6,67.9,1
STU-00381,Advik Kulkarni,15,Male,10th,Semester 1,3.1,8.2,4.6,6,78.5,69.6,66.5,1
STU-00382,Priyanka Nair,15,Female,9th,Semester 3,4.2,5.2,2.5,7,80.6,69.4,61.6,1
STU-00383,Aaryan Verma,15,Male,9th,Semester 4,6.4,8.2,2.3,7,80.3,82.4,74.2,1
STU-00384,Siddharth Verma,15,Male,9th,Semester 2,6.1,6.8,4.4,7,81.9,71.4,70.5,1
STU-00385,Sai Reddy,18,Male,11th,Semester 2,4.8,8.8,3.5,7,82.3,72.6,65.1,1
STU-00386,Vihaan Das,19,Male,Undergraduate,Semester 2,1.3,6.9,5.3,3,88.5,56.9,42.9,0
STU-00387,Aditya Das,14,Male,10th,Semester 1,4.6,5.4,4.6,7,79.6,88.5,57.1,1
STU-00388,Pari Malhotra,15,Female,9th,Semester 1,2.8,6.0,4.9,5,86.8,70.7,55.6,1
STU-00389,Ishaan Reddy,20,Male,Undergraduate,Semester 2,3.6,6.9,6.6,5,92.5,75.2,62.9,1
STU-00390,Aanya Sharma,14,Female,10th,Semester 2,2.3,6.5,3.6,5,69.4,56.8,42.9,0
STU-00391,Diya Kapoor,16,Female,10th,Semester 4,1.6,6.8,4.0,4,91.9,68.5,52.1,1
STU-00392,Myra Reddy,18,Female,12th,Semester 3,2.9,5.5,4.2,5,97.5,79.2,75.1,1
STU-00393,Aarav Sharma,17,Male,11th,Semester 4,4.4,7.8,9.9,7,70.3,49.9,48.5,0
STU-00394,Advik Rao,16,Male,9th,Semester 4,8.9,7.7,2.1,7,84.9,88.0,89.3,1
STU-00395,Muhammad Singh,17,Male,11th,Semester 3,1.4,5.8,1.0,3,53.5,64.2,37.6,0
STU-00396,Aaradhya Banerjee,17,Female,12th,Semester 4,1.5,7.9,4.7,3,91.1,56.0,56.5,1
STU-00397,Muhammad Bose,19,Male,Undergraduate,Semester 3,3.1,6.2,2.0,5,49.6,47.6,41.1,0
STU-00398,Siddharth Kulkarni,16,Male,12th,Semester 3,7.0,5.8,2.1,7,80.5,76.5,64.8,1
STU-00399,Pranav Kulkarni,17,Male,12th,Semester 1,2.8,7.2,5.3,4,60.5,53.5,57.6,1
STU-00400,Atharv Patel,18,Male,12th,Semester 4,2.0,8.4,1.9,4,44.1,35.2,31.8,0
STU-00401,Saanvi Bose,14,Female,9th,Semester 3,3.3,8.8,4.3,6,61.7,52.6,41.5,0
STU-00402,Pari Reddy,15,Female,10th,Semester 2,1.9,4.1,1.3,3,88.2,54.8,50.8,1
STU-00403,Angel Rao,16,Female,10th,Semester 3,5.2,6.8,2.2,7,92.2,77.7,81.9,1
STU-00404,Krishna Singh,17,Male,11th,Semester 2,1.0,6.1,5.7,2,61.0,49.7,36.4,0
STU-00405,Anika Reddy,17,Female,11th,Semester 3,7.1,7.0,4.9,7,87.4,77.5,80.7,1
STU-00406,Muhammad Joshi,17,Male,12th,Semester 2,2.9,5.9,2.1,5,63.4,66.1,48.5,0
STU-00407,Aaradhya Kumar,15,Female,9th,Semester 4,4.8,6.4,3.5,7,90.6,76.1,69.1,1
STU-00408,Arjun Bose,14,Male,9th,Semester 1,6.0,6.8,3.9,7,84.3,79.1,83.2,1
STU-00409,Meera Nair,21,Female,Undergraduate,Semester 4,4.6,7.3,1.1,7,86.7,74.9,67.3,1
STU-00410,Pooja Malhotra,17,Female,12th,Semester 4,5.5,8.7,1.8,7,41.0,55.5,56.9,1
STU-00411,Angel Chouhan,14,Other,9th,Semester 1,3.8,8.9,9.1,6,91.0,61.8,49.8,0
STU-00412,Ishaan Reddy,16,Male,10th,Semester 3,5.6,8.6,3.4,7,87.0,74.5,69.9,1
STU-00413,Siddharth Bose,16,Male,9th,Semester 3,6.1,6.7,4.6,7,82.3,71.0,73.6,1
STU-00414,Vihaan Joshi,14,Male,10th,Semester 1,8.4,7.0,2.1,7,94.4,93.4,100.0,1
STU-00415,Saanvi Nair,16,Female,12th,Semester 4,0.8,7.4,2.9,3,78.3,65.2,45.9,0
STU-00416,Aarav Mishra,14,Male,10th,Semester 2,4.0,9.1,2.5,7,58.4,51.9,48.8,0
STU-00417,Tanvi Choudhury,16,Female,12th,Semester 3,2.7,6.3,8.3,4,89.8,56.9,59.6,1
STU-00418,Anand Deshmukh,18,Male,Undergraduate,Semester 4,3.6,8.6,5.5,6,93.3,65.3,69.7,1
STU-00419,Ayaan Singh,16,Male,12th,Semester 1,5.0,7.7,3.4,7,58.7,57.7,64.4,1
STU-00420,Muhammad Sharma,16,Male,12th,Semester 2,3.2,7.1,3.6,5,74.0,65.7,59.3,1
STU-00421,Pari Mishra,15,Female,10th,Semester 1,7.0,7.3,3.4,7,96.7,81.3,80.9,1
STU-00422,Arjun Kapoor,21,Male,Undergraduate,Semester 3,2.2,7.0,1.7,5,94.0,68.6,52.1,1
STU-00423,Aaryan Malhotra,18,Male,12th,Semester 2,6.3,10.0,4.9,7,84.7,69.0,62.2,1
STU-00424,Myra Singh,18,Female,11th,Semester 1,1.4,7.5,3.5,4,77.3,63.3,59.9,1
STU-00425,Aaryan Mehta,15,Male,9th,Semester 3,2.6,8.7,0.9,4,76.2,67.8,61.1,1
STU-00426,Sara Choudhury,16,Female,12th,Semester 1,7.8,5.9,3.0,7,86.3,86.7,79.7,1
STU-00427,Muhammad Reddy,16,Male,12th,Semester 3,4.2,8.4,4.4,7,86.3,78.0,62.2,1
STU-00428,Anand Kapoor,14,Male,9th,Semester 2,1.0,4.9,2.2,2,86.3,61.7,47.4,0
STU-00429,Anika Bhat,16,Female,10th,Semester 1,6.2,6.4,2.6,7,89.0,80.0,79.6,1
STU-00430,Tara Verma,15,Female,10th,Semester 4,2.1,5.8,2.9,4,87.1,70.6,56.2,1
STU-00431,Pari Das,16,Female,10th,Semester 2,4.0,6.9,4.2,7,80.4,55.5,58.2,1
STU-00432,Ananya Reddy,18,Female,11th,Semester 1,4.8,6.7,2.0,7,86.2,66.5,57.0,1
STU-00433,Angel Kulkarni,19,Female,Undergraduate,Semester 2,4.1,6.6,2.6,7,99.7,70.3,68.0,1
STU-00434,Advik Reddy,16,Male,12th,Semester 2,2.9,5.7,0.7,5,41.7,54.6,51.7,1
STU-00435,Pooja Joshi,17,Other,12th,Semester 2,2.7,7.9,1.3,4,92.0,65.8,56.7,1
STU-00436,Aadhya Malhotra,16,Female,12th,Semester 3,1.9,5.5,7.7,4,84.1,64.2,54.7,1
STU-00437,Sara Bhat,18,Female,12th,Semester 4,1.4,7.3,0.6,3,95.8,51.1,60.7,1
STU-00438,Advik Das,21,Male,Undergraduate,Semester 2,3.0,5.5,4.4,5,92.5,56.3,64.1,1
STU-00439,Myra Kapoor,18,Female,12th,Semester 4,4.3,6.7,4.6,6,91.2,69.2,68.9,1
STU-00440,Dhruv Verma,16,Male,10th,Semester 2,5.3,6.7,6.9,7,76.3,53.9,57.0,1
STU-00441,Priyanka Joshi,18,Female,12th,Semester 3,5.8,6.9,1.1,7,59.2,59.6,48.9,0
STU-00442,Aadhya Reddy,15,Female,9th,Semester 4,2.5,6.2,3.2,5,94.3,63.3,65.9,1
STU-00443,Advaith Mishra,16,Male,10th,Semester 4,5.9,7.9,2.3,7,77.2,69.3,68.0,1
STU-00444,Sai Kapoor,18,Male,11th,Semester 4,10.3,7.3,6.1,7,81.8,86.1,89.8,1
STU-00445,Aadhya Verma,15,Female,9th,Semester 3,2.3,6.9,8.4,5,71.3,30.3,15.8,0
STU-00446,Anand Bose,15,Male,9th,Semester 1,8.5,5.6,2.2,7,40.1,67.4,54.1,1
STU-00447,Anika Choudhury,18,Female,Undergraduate,Semester 3,2.2,7.7,0.9,4,87.1,71.5,58.0,1
STU-00448,Ayaan Sharma,14,Male,10th,Semester 2,2.8,6.6,2.6,5,79.7,55.4,52.2,1
STU-00449,Aarav Malhotra,18,Male,12th,Semester 1,3.4,5.9,6.8,6,87.7,62.1,67.4,1
STU-00450,Kabir Patel,14,Male,10th,Semester 2,1.0,6.7,2.3,2,90.1,68.4,57.9,1
STU-00451,Khushi Verma,15,Female,10th,Semester 1,3.6,7.9,3.3,6,84.1,65.7,58.2,1
STU-00452,Advik Reddy,15,Male,10th,Semester 3,6.2,7.8,6.9,7,79.0,66.5,63.2,1
STU-00453,Aarav Mehta,17,Male,12th,Semester 1,0.5,6.8,4.1,2,61.2,46.5,47.4,0
STU-00454,Tanvi Kumar,17,Female,12th,Semester 1,4.4,9.2,0.8,7,90.9,78.4,63.6,1
STU-00455,Aanya Bhat,17,Female,12th,Semester 1,3.9,7.0,4.7,6,64.7,51.2,46.6,0
STU-00456,Pranav Das,17,Male,12th,Semester 2,1.0,6.8,0.9,2,75.2,67.6,56.5,1
STU-00457,Avani Singh,19,Female,Undergraduate,Semester 3,2.2,5.3,3.1,5,74.9,69.8,55.5,1
STU-00458,Avani Bose,17,Female,11th,Semester 3,1.8,5.6,3.3,4,68.1,57.6,51.5,1
STU-00459,Reyansh Mehta,16,Male,10th,Semester 4,4.3,8.0,0.6,7,76.7,74.2,64.5,1
STU-00460,Tanvi Kulkarni,18,Female,11th,Semester 3,3.0,7.2,5.5,6,98.3,64.2,57.0,1
STU-00461,Sneha Malhotra,16,Female,9th,Semester 4,5.2,6.9,1.8,7,95.6,74.9,75.5,1
STU-00462,Sai Das,18,Male,12th,Semester 1,4.0,5.5,4.4,6,73.2,65.8,60.3,1
STU-00463,Khushi Kumar,14,Female,10th,Semester 2,1.1,7.2,1.2,2,96.3,65.2,62.5,1
STU-00464,Aanya Mishra,15,Female,9th,Semester 4,3.2,6.8,2.2,6,93.7,73.3,59.5,1
STU-00465,Arjun Verma,15,Male,9th,Semester 2,2.4,7.6,5.5,4,81.9,63.9,57.3,1
STU-00466,Anika Kumar,17,Female,11th,Semester 1,3.7,7.4,3.1,5,95.0,70.3,68.1,1
STU-00467,Advik Singh,21,Male,Undergraduate,Semester 3,4.2,7.7,3.2,6,74.2,60.2,63.5,1
STU-00468,Pranav Das,21,Male,Undergraduate,Semester 4,5.6,6.2,6.4,7,67.4,67.1,60.9,1
STU-00469,Pranav Bose,15,Male,9th,Semester 1,4.9,7.0,2.5,7,93.5,73.2,71.3,1
STU-00470,Muhammad Chouhan,18,Male,12th,Semester 4,3.1,6.8,1.7,6,84.3,64.7,66.4,1
STU-00471,Vihaan Chouhan,17,Male,12th,Semester 4,7.7,9.0,2.5,7,92.9,76.2,80.7,1
STU-00472,Ananya Banerjee,22,Female,Undergraduate,Semester 3,1.7,7.1,2.4,4,88.4,71.0,67.5,1
STU-00473,Aaryan Verma,18,Male,12th,Semester 3,4.6,7.5,4.4,7,88.6,68.2,63.6,1
STU-00474,Anushka Kapoor,18,Female,Undergraduate,Semester 3,3.3,7.6,2.3,6,50.2,51.8,49.3,0
STU-00475,Krishna Reddy,17,Male,11th,Semester 4,3.3,6.3,3.4,5,84.6,52.6,51.2,1
STU-00476,Tanvi Kulkarni,16,Female,10th,Semester 3,3.6,7.0,1.2,6,50.9,65.4,60.8,1
STU-00477,Navya Verma,17,Female,12th,Semester 3,3.3,6.6,9.2,6,91.5,50.7,51.2,1
STU-00478,Aanya Malhotra,15,Female,9th,Semester 3,6.4,7.6,4.5,7,78.6,64.9,68.6,1
STU-00479,Anika Banerjee,18,Female,11th,Semester 2,2.5,8.4,2.9,5,75.0,63.6,48.0,0
STU-00480,Pooja Gupta,22,Female,Undergraduate,Semester 1,0.8,6.7,2.9,2,66.2,54.8,46.3,0
STU-00481,Aarav Sharma,20,Male,Undergraduate,Semester 4,2.0,5.5,3.1,4,71.8,45.7,38.9,0
